,Nombre,Grandes Premios,Victorias,Poles,Podios,Vueltas Rápidas,Piloto del día,Puntos,Puntos en sprints,Posición final media,Posición parrilla media,Mejor resultado en carrera,Mejor resultado en sprint,Mejor posición en parrilla,Abandonos,Descalificaciones
1,Abel Romero,75,18,22,46,18,8,1655,206,4.53,6.12,"[1, 18]","[-1, 1]","[1, 22]",6,0
2,Adrián Guillén,21,0,0,0,0,0,55,6,13.38,13.9,"[5, 1]","[12, 1]","[7, 1]",7,0
3,Adrián Simón,74,4,6,25,4,3,1327,121,5.5,6.72,"[1, 4]","[2, 3]","[1, 6]",4,0
4,Adrián Torres,75,12,9,45,11,4,1630,154,4.11,6.71,"[1, 12]","[2, 3]","[1, 9]",3,0
5,Arnau Valverde,66,0,1,2,0,6,477,78,10.47,10.73,"[3, 2]","[-1, 1]","[0, 1]",11,2
6,Carlos Riera,14,0,0,0,0,0,11,3,16.0,16.64,"[12, 1]","[14, 1]","[11, 1]",10,0
8,David Cordón,73,1,1,3,0,1,773,120,8.95,8.79,"[1, 1]","[1, 1]","[1, 1]",8,0
9,Eric Garcia,75,1,2,3,1,4,788,84,8.97,8.71,"[1, 1]","[-1, 1]","[1, 2]",8,0
10,Eric Reig,73,15,6,40,14,7,1486,170,4.66,5.74,"[1, 15]","[1, 4]","[1, 6]",7,0
11,Eudald Clascà,54,0,4,0,0,0,30,3,13.54,13.61,"[12, 1]","[-1, 1]","[1, 4]",19,0
12,Ferran Leiva,62,0,2,11,3,3,755,49,7.97,8.37,"[2, 6]","[-1, 1]","[0, 1]",9,2
13,Iván Fajardo,61,0,0,0,0,2,454,84,10.85,10.57,"[4, 1]","[-1, 2]","[0, 2]",12,3
14,Joan Muñoz,74,0,0,9,1,5,895,98,7.78,10.81,"[2, 5]","[3, 1]","[3, 2]",6,0
15,Josep Garcia,74,0,0,3,0,4,830,110,8.36,10.54,"[2, 1]","[3, 1]","[2, 1]",7,0
16,Kevin Leal,67,0,2,1,0,3,465,127,11.79,10.76,"[2, 1]","[-1, 1]","[1, 2]",5,0
17,Oriol Xicola,1,0,0,0,0,0,0,0,20.0,20.0,"[20, 1]","[20, 0]","[20, 1]",1,0
18,Roberto Floria,54,0,2,0,0,0,99,16,13.24,13.98,"[7, 1]","[-1, 2]","[1, 2]",22,0
19,Roberto Ascenso,69,0,2,1,4,5,581,98,10.51,9.28,"[3, 1]","[2, 1]","[0, 1]",8,1
20,Toni Casado,57,0,0,0,1,2,284,34,11.96,14.4,"[5, 1]","[8, 2]","[3, 1]",4,0
21,Víctor Peraire,49,23,14,31,17,5,1054,95,4.53,7.8,"[1, 23]","[1, 2]","[1, 14]",4,0
22,Oriol Garrigós,17,0,0,0,0,0,37,0,14.29,15.12,"[9, 2]","[16, 1]","[9, 1]",7,0
24,Pau Cantero,62,0,0,4,0,4,698,45,8.21,10.6,"[2, 2]","[5, 1]","[2, 1]",10,0
25,Adrià Batanés,37,0,1,1,0,5,276,48,10.43,10.14,"[3, 1]","[2, 1]","[0, 1]",12,1
26,Sergio C. Pascual,45,0,0,0,0,1,258,44,11.47,10.56,"[4, 1]","[8, 1]","[2, 1]",7,0
27,Sergi López,20,0,0,0,0,0,85,52,13.45,9.95,"[11, 1]","[3, 1]","[0, 1]",2,1
29,Mikel Pascual,2,0,0,0,0,0,10,6,14.0,11.0,"[13, 1]","[10, 1]","[10, 1]",1,0
30,Diego Ávila,1,0,0,0,0,0,16,14,14.0,13.0,"[14, 1]","[2, 1]","[13, 1]",0,0
31,Jorge Arnal,10,0,0,0,0,0,34,26,10.8,11.1,"[14, 1]","[2, 1]","[2, 1]",5,0
33,Luís Ramos,13,0,0,0,0,1,137,16,8.0,10.31,"[5, 2]","[4, 1]","[4, 1]",2,0
34,Álvaro Teixidó,13,0,0,0,1,1,112,46,9.15,9.77,"[6, 1]","[3, 1]","[2, 1]",2,0
35,Víctor Font,13,0,1,0,0,0,32,12,14.62,11.31,"[7, 1]","[6, 1]","[1, 1]",0,0
36,Dimitry Ptrenko,1,0,0,0,0,0,12,12,17.0,10.0,"[17, 1]","[4, 1]","[10, 1]",1,0
